1,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10899459_998264680202691_1671165008_n.jpg,1420159719,1,1,2015,New Year's Day walk with my pretty (goofy) girlfriend. #my365,888686594976323892_857033525,http://instagram.com/p/xVP7_qNxk0/,49.27645599,-123.0619659,48:39.9,48:39.9,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10899459_998264680202691_1671165008_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10899459_998264680202691_1671165008_a.jpg,15-01-01,true
2,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10895007_1528719710710989_1249419328_n.jpg,1420253757,1,2,2015,Not everything is black and white (but this is). #my365,889475446913571225_857033525,http://instagram.com/p/xYDTTRtxmZ/,49.27647441,-123.061908,55:58.3,55:58.3,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10895007_1528719710710989_1249419328_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10895007_1528719710710989_1249419328_a.jpg,15-01-02,false
3,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10895087_400809403427195_1467280894_n.jpg,1420347058,1,3,2015,While stuck waiting for my gf at Lululemon I realized I could be stuck in a worse place. #my365,890258112302750034_857033525,http://instagram.com/p/xa1QlONxlS/,49.27642435,-123.0619647,51:14.6,51:14.6,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10895087_400809403427195_1467280894_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10895087_400809403427195_1467280894_a.jpg,15-01-03,false
4,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10914609_1551208678459060_385184558_n.jpg,1420412081,1,4,2015,"My good friend Pepper, always dressed for the weather. #my365",890803562646805165_857033525,http://instagram.com/p/xcxR7cNxqt/,49.27646136,-123.0620074,54:52.3,54:52.3,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10914609_1551208678459060_385184558_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10914609_1551208678459060_385184558_a.jpg,15-01-04,false
16,http://scontent-a.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/10914097_534703086671235_1074199054_n.jpg,1420517094,1,5,2015,Walking in the rain. #my365,891684475169610172_857033525,http://instagram.com/p/xf5k5KNxm8/,49.27646184,-123.0620074,04:55.0,04:55.0,http://scontent-a.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/10914097_534703086671235_1074199054_s.jpg,http://scontent-a.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/10914097_534703086671235_1074199054_a.jpg,15-01-05,false
17,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914371_809252989140043_1305712369_n.jpg,1420614450,1,6,2015,Pigeon park. #my365,892501158343941013_857033525,http://instagram.com/p/xizRMotxuV/,49.27642587,-123.0619584,07:38.9,07:38.9,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914371_809252989140043_1305712369_s.jpg,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914371_809252989140043_1305712369_a.jpg,15-01-06,false
21,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10890623_887066494650166_1835091540_n.jpg,1420695389,1,7,2015,One little candle burning bright... #my365,893180120766290895_857033525,http://instagram.com/p/xlNpZqtxvP/,49.2763936,-123.0619008,36:29.8,36:29.8,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10890623_887066494650166_1835091540_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10890623_887066494650166_1835091540_a.jpg,15-01-07,false
22,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919145_777724272313448_1954972361_n.jpg,1420782754,1,8,2015,Life of a teacher. #my365,893912996747090757_857033525,http://instagram.com/p/xn0SJnNxtF/,49.27648143,-123.06201,52:42.1,52:42.1,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919145_777724272313448_1954972361_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919145_777724272313448_1954972361_a.jpg,15-01-08,false
23,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919463_1525966570987504_2071527646_n.jpg,1420872863,1,9,2015,Quack Quack! #vancouver #my365,894668881228404757_857033525,http://instagram.com/p/xqgJt5NxgV/,49.27651046,-123.0619322,54:34.0,54:34.0,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919463_1525966570987504_2071527646_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10919463_1525966570987504_2071527646_a.jpg,15-01-09,false
28,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914575_341975482654754_878502826_n.jpg,1420956752,1,10,2015,Dill. My new fav ingredient. #my365,895372595312400579_857033525,http://instagram.com/p/xtAKGtNxjD/,49.27642871,-123.06199,12:33.9,12:33.9,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914575_341975482654754_878502826_s.jpg,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10914575_341975482654754_878502826_a.jpg,15-01-10,false
